Casablanca,"Casablanca Mohammed V, Morocco (CMN)",CMN,33.3675,-7.59,Africa/Casablanca
Catania,"Catania Fontanarossa, Italy (CTA)",CTA,37.4666667,15.0638889,Europe/Rome
Cebu,"Cebu Mactan International, Philippines (CEB)",CEB,10.3075,123.979444,Asia/Manila
Cedar Rapids,"Cedar Rapids, IA (CID)",CID,41.8847222,-91.710833,America/Chicago
Chah-Bahar,"Chah Bahar Konarak, Iran (ZBR)",ZBR,25.4444444,60.3836111,Asia/Tehran
Chambery,"Chambery/Aix-les-Bains, France (CMF)",CMF,45.6391667,5.88,Europe/Paris
Changchun,"Changchun, China (CGQ)",CGQ,43.9961111,125.685278,Asia/Shanghai
Changsha,"Changsha Huanghua International, China (CSX)",CSX,28.1833333,113.216667,Asia/Shanghai
Huanghua,"Changsha Huanghua, China (HHA)",HHA,28.1891667,113.219444,Asia/Shanghai
Changzhou,"Changzhou, China (CZX)",CZX,31.9194444,119.778333,Asia/Shanghai
Chania,"Chania Ioannis Daskalogiannis, Greece (CHQ)",CHQ,35.5316667,24.1497222,Europe/Athens
Chapeco,"Chapeco, Brazil (XAP)",XAP,-27.134167,-52.656667,America/Sao_Paulo
Charleston,"Charleston AFB Municipal, SC (CHS)",CHS,32.8986111,-80.040556,America/New_York
Charleston,"Charleston Yeager, WV (CRW)",CRW,38.3730556,-81.593056,America/New_York
Charlotte,"Charlotte Douglas, NC (CLT)",CLT,35.2138889,-80.943056,America/New_York
Charlottesville,"Charlottesville Albemarle, VA (CHO)",CHO,38.1386111,-78.452778,America/New_York
Chatham,"Chatham, ON",XCM,42.4,-82.183333,America/Montreal
Chattanooga,"Chattanooga Lovell Field, TN (CHA)",CHA,35.0352778,-85.203889,America/New_York
Chelyabinsk,"Chelyabinsk Balandino, Russia (CEK)",CEK,55.3058333,61.5033333,Asia/Yekaterinburg
Chengdu,"Chengdu, China (CTU)",CTU,30.5786111,103.947222,Asia/Shanghai
Chiang Mai,"Chiang Mai International, Thailand (CNX)",CNX,18.7713889,98.9627778,Asia/Bangkok
Chicago,"Chicago Midway, IL (MDW)",MDW,41.7861111,-87.7525,America/Chicago
Chicago,"Chicago O'Hare, IL (ORD)",ORD,41.9786111,-87.904722,America/Chicago
Chongqing,"Chongqing, China (CKG)",CKG,29.7194444,106.641944,Asia/Shanghai
Christchurch,"Christchurch International, New Zealand (CHC)",CHC,-43.489444,172.532222,Pacific/Auckland
Christmas Island,"Christmas Island, Christmas Island (XCH)",XCH,-10.450556,105.690278,Indian/Christmas
Churchill Falls,"Churchill Falls, NL",ZUM,53.5619444,-64.106389,America/Halifax
Cincinnati,"Cincinnati Northern Kentucky, OH (CVG)",CVG,39.0488889,-84.667778,America/New_York
Cleveland,"Cleveland Hopkins International, OH (CLE)",CLE,41.4116667,-81.849722,America/New_York
Cluj,"Cluj-Napoca, Romania (CLJ)",CLJ,46.7852778,23.6861111,Europe/Bucharest
Cold Bay,"Cold Bay, AK (CDB)",CDB,55.2061111,-162.72556,America/Anchorage
Cologne,"Cologne/Bonn, Germany (CGN)",CGN,50.8658333,7.14277778,Europe/Berlin
Colombo,"Colombo Bandaranayake International, Sri Lanka (CMB)",CMB,7.18027778,79.8852778,Asia/Colombo
Colorado Springs,"Colorado Springs Peterson Field, CO (COS)",COS,38.8058333,-104.70083,America/Denver
Columbia,"Columbia Metropolitan, SC (CAE)",CAE,33.9388889,-81.119444,America/New_York
Columbus,"Columbus Port Columbus Int'l, OH (CMH)",CMH,39.9980556,-82.891944,America/New_York
Conakry,"Conakry International, Guinea (CKY)",CKY,9.57694444,-13.611944,Africa/Conakry
Constantine,"Constantine Mohamed Boudiaf, Algeria (CZL)",CZL,36.2761111,6.62027778,Africa/Algiers
Copenhagen,"Copenhagen Kastrup, Denmark (CPH)",CPH,55.7333333,12.5833333,Europe/Copenhagen
Cordoba,"Cordoba Pajas Blancas, Argentina (COR)",COR,-31.31,-64.208333,America/Argentina/Buenos_Aires
Cork,"Cork International, Ireland (ORK)",ORK,51.8413889,-8.4911111,Europe/Dublin
Cotonou,"Cotonou Cadjehoun, Benin (COO)",COO,6.35722222,2.38444444,Africa/Porto-Novo
Cuiaba,"Cuiaba M. Rondon, Brazil (CGB)",CGB,-15.653056,-56.116667,America/Cuiaba
Willemstad,"Curacao Aeropuerto Hato, Curacao (CUR)",CUR,12.1888889,-68.959722,America/New_York
Curitiba,"Curitiba Afonso Pena, Brazil (CWB)",CWB,-25.528611,-49.175833,America/Sao_Paulo
Da Nang,"Da Nang, Viet Nam (DAD)",DAD,16.0438889,108.199444,Asia/Ho_Chi_Minh
Dakar,"Dakar Leopold Sedar Senghor, Senegal (DKR)",DKR,14.7397222,-17.490278,Africa/Dakar
Dalaman,"Dalaman, Turkey (DLM)",DLM,36.7130556,28.7925,Europe/Istanbul
Dali City,"Dali City Dali, China (DLU)",DLU,25.6502778,100.319444,Asia/Shanghai
Dalian,"Dalian, China (DLC)",DLC,38.9655556,121.538611,Asia/Shanghai
Dallas/Fort Worth,"Dallas Love Field, TX (DAL)",DAL,32.8472222,-96.851667,America/Chicago
Dallas/Fort Worth,"Dallas/Ft Worth International, TX (DFW)",DFW,32.8969444,-97.038056,America/Chicago
Damascus,"Damascus International, Syria (DAM)",DAM,33.4105556,36.5141667,Asia/Damascus
Dammam,"Dammam King Fahd International, Saudi Arabia (DMM)",DMM,26.4711111,49.7977778,Asia/Riyadh
Daqing Shi,"Daqing Shi Saertu, China (DQA)",DQA,46.7555556,125.1375,Asia/Shanghai
Dar Es Salaam,"Dar es Salaam Julius Nyerere International, Tanzania (DAR)",DAR,-6.8780556,39.2025,Africa/Dar_es_Salaam
Darwin,"Darwin, Australia (DRW)",DRW,-12.414722,130.876667,Australia/Darwin
Datong,"Datong, China (DAT)",DAT,39.7188889,113.146111,Asia/Shanghai
Davao,"Davao Francisco Bangoy International, Philippines (DVO)",DVO,7.12527778,125.645556,Asia/Manila
Dayong,"Dayong, China (DYG)",DYG,29.1027778,110.446111,Asia/Shanghai
Deauville,"Deauville St Gatien, France (DOL)",DOL,49.3633333,0.16,Europe/Paris
Deer Harbor,"Deer Harbor, WA (DHB)",DHB,48.6208333,-123.00306,America/Los_Angeles
Deer Lake,"Deer Lake, NL",YDF,49.2108333,-57.391389,America/St_Johns
Delhi,"Delhi Indira Gandhi International, India (DEL)",DEL,28.5663889,77.1030556,Asia/Kolkata
Denpasar Bali,"Denpasar Bali Ngurah Rai, Indonesia (DPS)",DPS,-8.7480556,115.167222,Asia/Makassar
Denver,"Denver International, CO (DEN)",DEN,39.8616667,-104.67306,America/Denver
Des Moines,"Des Moines, IA (DSM)",DSM,41.5338889,-93.663056,America/Chicago
Detroit,"Detroit Wayne County, MI (DTW)",DTW,42.2125,-83.353333,America/New_York
Dhaka,"Dhaka Hazrat Shahjalal International, Bangladesh (DAC)",DAC,23.8433333,90.3977778,Asia/Dhaka
Dijon,"Dijon Longvic, France (DIJ)",DIJ,47.2658333,5.76166667,Europe/Paris
Dillingham,"Dillingham Municipal, AK (DLG)",DLG,59.0447222,-158.50556,America/Anchorage
